name|picture|input|damage|guard|startup|active|recovery|onBlock|onHit|riscGain|riscLoss|level|counter|invul|prorate
5P|https://dustloop.com/wiki/images/thumb/7/71/GGST_Potemkin_5P.png/210px-GGST_Potemkin_5P.png|5P|30|All|5|5|6|1|4|1000|1500|1|Small||80%
5K|https://dustloop.com/wiki/images/thumb/b/b2/GGST_Potemkin_5K.png/210px-GGST_Potemkin_5K.png|5K|36|Low|10|9|9|-4|-1|1125|1000|2|Small||70%
c.S|https://dustloop.com/wiki/images/thumb/5/53/GGST_Potemkin_c.S.png/210px-GGST_Potemkin_c.S.png|c.S|45|All|8|4|11|4|7|2500|1000|4|Mid||100%
f.S|https://dustloop.com/wiki/images/thumb/6/61/GGST_Potemkin_f.S.png/210px-GGST_Potemkin_f.S.png|f.S|40|All|12|7|18|-8|-5|2000|1000|3|Mid||90%
5H|https://dustloop.com/wiki/images/thumb/6/61/GGST_Potemkin_f.S.png/210px-GGST_Potemkin_f.S.png|5H|60|All|16|5|25|-11|-8|2500|1000|4|Large||100%
5D|https://dustloop.com/wiki/images/thumb/d/d3/GGST_Potemkin_5D.png/210px-GGST_Potemkin_5D.png|5D|50|High|20~27|8|21|-15|0|1125|3000|2|Mid||80%
5[D]|https://dustloop.com/wiki/images/thumb/d/d3/GGST_Potemkin_5D.png/210px-GGST_Potemkin_5D.png|5[D]|62|High|28|8|21|-10|SKD +38|1875|1500|4|Mid||100%
2P|https://dustloop.com/wiki/images/thumb/8/8b/GGST_Potemkin_2P.png/210px-GGST_Potemkin_2P.png|2P|26|All|8|4|9|-1|2|1000|1500|1|Small||80%
2K|https://dustloop.com/wiki/images/thumb/a/a5/GGST_Potemkin_2K.png/210px-GGST_Potemkin_2K.png|2K|30|Low|10|4|14|-4|-1|1125|1000|2|Small||70%
2S|https://dustloop.com/wiki/images/thumb/6/6b/GGST_Potemkin_2S.png/210px-GGST_Potemkin_2S.png|2S|45|All|14|3|18|-4|-1|2000|1000|3|Mid||90%
2H|https://dustloop.com/wiki/images/thumb/8/87/GGST_Potemkin_2H.png/156px-GGST_Potemkin_2H.png|2H|55|All|13|5|35|-21|SKD (+27)|2500|1000|4|Large||100%
2D|https://dustloop.com/wiki/images/thumb/9/99/GGST_Potemkin_2D.png/210px-GGST_Potemkin_2D.png|2D|40|Low|13|7|21|-11|KD|1500|1000|3|Large||90%
6P|https://dustloop.com/wiki/images/thumb/e/e0/GGST_Potemkin_6P.png/183px-GGST_Potemkin_6P.png|6P|42|All|11|7|25|-15|SKD (+29)|2000|1000|3|Mid|"1 ~ 4F Upper Body
5 ~ 17F Above Knees"|90%
6K|https://dustloop.com/wiki/images/thumb/3/35/GGST_Potemkin_6K.png/210px-GGST_Potemkin_6K.png|6K|45|All|22|5|18|-6|-3|2000|1000|3|Mid||100%
6H|https://dustloop.com/wiki/images/thumb/a/a3/GGST_Potemkin_6H.png/210px-GGST_Potemkin_6H.png|6H|90|All|23|5|29|-15|SKD (+25)|2500|1000|4|Large||100%
j.P|https://dustloop.com/wiki/images/thumb/e/e5/GGST_Potemkin_j.P.png/210px-GGST_Potemkin_j.P.png|j.P|30|High|7|6|6|||375|1000|0|Small||80%
j.K|https://dustloop.com/wiki/images/thumb/4/45/GGST_Potemkin_j.K.png/210px-GGST_Potemkin_j.K.png|j.K|36|High|10|6|15|||750|1000|1|Small||80%
j.S|https://dustloop.com/wiki/images/thumb/c/cf/GGST_Potemkin_j.S.png/156px-GGST_Potemkin_j.S.png|j.S|45|High|13|5|23|||1500|1000|3|Mid||80%
